"Date","volume","stemmass","stemmass_SD"
2013-02-11,1000,1.90760245087833,0.195097231775595
2013-02-18,1000,2.25861293853854,0.201347291527093
2013-02-25,1000,3.24581441387938,0.275623181912199
2013-03-04,1000,4.960869596698,0.450158323712671
2013-03-11,1000,6.96599570410522,0.737990710100329
2013-03-18,1000,9.41872004252961,1.00730224103367
2013-03-25,1000,13.4120457682207,1.55218399785415
2013-04-02,1000,17.4255222106782,1.91684911950192
2013-04-08,1000,21.4078883906556,2.50928308473969
2013-04-15,1000,25.845958696511,3.45285152552441
2013-04-22,1000,28.8458855446357,3.76049976746416
2013-04-29,1000,32.2538485489579,4.30498228560761
2013-05-06,1000,36.319121656999,4.95421634949922
2013-05-13,1000,40.8693324808869,5.11505719448231
2013-05-21,1000,44.0526176561648,5.11309676237513
